Open Location Code,Category,Idea Number,Response,Upvotes,Downvotes
85QFMC9M+RC,🚲Bike Use,idea0,"Pump Track (great for exercise for kids and adults to bike up the hill and get a bit of fun at the end, with potential routes leading from the pump track to connectivity across town.",4,0
85QFMC9M+RC,🥾Pedestrian Use,idea0,Sidewalk surrounding park,1,0
85QFMC9M+RC,🥾Pedestrian Use,idea1,Off leash dog walking path,0,0
85QFMC9M+RC,🥾Pedestrian Use,idea2,Peace Garden,0,0
85QFMC9M+RC,🌳Planting,idea0,The community would most benefit from keeping the entire area open to everyone and using the site as a native habitat restoration project and educational site.  Employee a farmer to plant the native plants that benefit the wildlife.,1,0
85QFMC9M+RC,🌳Planting,idea1,D1 Grove / passive planting,1,0
85QFMC9M+RC,🌳Planting,idea2,shade area for reservoir park,1,0
85QFMC9M+RC,🌳Planting,idea3,"Reintroduce, at a few locations, native silver sage brush.  It already grows on the North hill but is missing from the park.  This will privide hiding cover for resident rabits and other wildlife.  Also, thorugh out the park, the abundance of seasonlong native flowering forbs and leguems should be increase for nitrogen fixation and pollinator habitat.",0,0
85QFMC9M+V3,🚗Parking,idea0,Parking,0,0
85QFMC9M+V3,🚗Parking,idea1,Parking,0,0
85QFMC9M+RM,🛝Recreation Area,idea0,Exercise Apparatus Area,0,0
85QFMCCP+23,🥾Pedestrian Use,idea0,Gazebo/Covered Dining Area,0,0
85QFMCCM+2C,🌳Planting,idea0,Blue Heron Dr. drifts shut with snow very easily in winter and so any vegetative improvements along the street edge should be short in height to minimize drifting for the stakeholders living next to the park.,1,0
85QFMCCM+2C,🥾Pedestrian Use,idea0,"Benches, Picnic Tables, Relaxation Area",0,0
85QFMC9M+J3,🚲Bike Use,idea0,Kids Pump track,4,0
85QFMC9M+J3,🌳Planting,idea0,"Landscaping, possible sitting, resting area within pumptrack",2,0
85QFMC9M+J3,🌳Planting,idea1,"Native plant garden with education panels, tables or benches to sit on and enjoy the garden space",0,0
85QFMC9M+J3,🛝Recreation Area,idea0,Basketball Court,0,0
85QFMC9M+QV,🛝Recreation Area,idea0,Disk golf,0,0
85QFMC9M+QV,🛝Recreation Area,idea1,Reservoir park,0,2
85QFMC9M+QV,🛝Recreation Area,idea2,Reservoir park,0,1
85QFMC9M+PC,🚲Bike Use,idea0,Youth bike skills development park,1,0
85QFMC9M+PC,🛝Recreation Area,idea0,Park,0,0
85QFMC9M+PC,🚗Parking,idea0,parking,0,1
85QFMCCM+2X,🚻Restrooms,idea0,Add restrooms,1,0
85QFMCCM+2X,🥾Pedestrian Use,idea0,E. Reservoir/Blue Heron connector trail,0,0
85QFMCCM+2W,🥾Pedestrian Use,idea0,pathway,0,0
85QFMCCM+2W,🥾Pedestrian Use,idea1,D3 - Walking Path,0,0
85QFMCCM+2W,🌳Planting,idea0,Community Garden & Orchard,0,0
85QFMCCM+2W,Fences & Barriers,idea0,Dog park,0,2
85QFMC9M+Q9,🌳Planting,idea0,Trees or earth embankment to block wind and obscure the water facilities,0,0
85QFMC9M+WH,🚲Bike Use,idea0,Progressive mountain bike area - all abilities and all ages with dirt trails and structured trail features,2,0
85QFMC9M+WH,🥾Pedestrian Use,idea0,paths to cross park,0,0
85QFMC9M+WH,🥾Pedestrian Use,idea1,Walking trail,0,0
85QFMC9M+WH,🛝Recreation Area,idea0,Multi-space uses,0,0
85QFMC9M+WH,🛝Recreation Area,idea1,Open Space/Field,0,0
85QFMCCM+2R,🛝Recreation Area,idea0,Volleyball sandcourt (ways to play an organized game),1,0
85QFMCCM+2R,🛝Recreation Area,idea1,"A beach volleyball court would be nice for the teenagers.  An outdoor pickleball court. A walking or jogging loop for older people or for roller blading would be nice. A nice open field so kids could play baseball, soccer or kickball.",1,0
85QFMCCM+2R,🚗Parking,idea0,WASTE OF MONEY AND TAXPAYER DOLLARS PARK,0,2
85QFMCCM+2R,🚗Parking,idea1,Miriam Skertich,0,1
85QFMCCM+2R,🚗Parking,idea2,Miriam Skertich,0,1
85QFMC9M+P2,🛝Recreation Area,idea0,How are we going to water the Garden? Rainwater collection center for garden,0,0
85QFMC9M+VQ,🪧Wayfinding & Signage,idea0,Transparent signs of various peaks and mountains,0,0
85QFMCCM+3G,🪧Wayfinding & Signage,idea0,Interactive educational signs,0,0
85QFMC9M+G6,🪧Wayfinding & Signage,idea0,Informational signage about the park in general,0,0
85QFMC9J+GX,🚗Parking,idea0,Parking,0,0
85QFMC9M+RP,🪧Wayfinding & Signage,idea0,Phone stand for crowd sourced time lapse/photo gallery,0,0
85QFMC9M+J4,🌳Planting,idea0,Community garden,1,1
85QFMC9M+J4,🛝Recreation Area,idea0,"pop up art galleries, sculpture garden, permanent sculptures, permanent mural",0,0
85QFMC9M+J4,🛝Recreation Area,idea1,Amphitheatre,0,0
85QFMC9M+V7,🚰Water Services,idea0,Clean water fountains and drinking water,0,0
85QFMC9M+QC,🚲Bike Use,idea0,Dirt bike park/pump track,2,0
85QFMC9M+QC,🌳Planting,idea0,D2 Community Garden,1,0
85QFMC9M+QC,🛝Recreation Area,idea0,"Table/seating, shade, book reading",0,0
85QFMC9M+QC,🛝Recreation Area,idea1,D1 Picnic Shelter,0,0
85QFMC9M+QC,🚗Parking,idea0,D3 - Public Parking,0,2
85QFMCCM+2H,🛝Recreation Area,idea0,Natural Playground,0,0
85QFMCCM+2H,🌳Planting,idea0,Native plants and pollinators with education,0,0
85QFMCCP+22,🚲Bike Use,idea0,Bike Pump tracks/trails,0,0
85QFMC9M+W7,🛝Recreation Area,idea0,D1 Overlook + Shade Structure,1,0
85QFMC9M+W7,🚻Restrooms,idea0,Restrooms,0,0
85QFMC9M+W7,🪧Wayfinding & Signage,idea0,D2 Overlook,0,0
85QFMC9M+Q2,🛝Recreation Area,idea0,D2 Skills park,1,0
85QFMC9M+Q2,🪧Wayfinding & Signage,idea0,Interpretative Signage for Planting/information,0,0
85QFMC9M+H3,🛝Recreation Area,idea0,Natural Play Area,2,0
85QFMC9M+H3,🛝Recreation Area,idea1,"modern ""natural themed"" child play area to develop balance, strength and agility",1,0
85QFMC9M+H3,🛝Recreation Area,idea2,Grass or sand volleyball court,0,0
85QFMC9M+H3,🛝Recreation Area,idea3,"Playground, natural features for play, artificial climbing boulder (2 sizes in the park- kid & teen/adult). Turf grass, trees, natural surface pathways connect other side of the park.",0,0
85QFMC9M+H3,🛝Recreation Area,idea4,kids play,0,0
85QFMC9M+H3,🛝Recreation Area,idea5,playground,0,0
85QFMC9M+H3,🌳Planting,idea0,Green space to hang out,1,0
85QFMC9M+H3,🌳Planting,idea1,"Native Plants and Pollinators(Pollinator Hotels, Bird houses, bat houses)",0,0
85QFMC9M+H3,🌳Planting,idea2,Edible food garden,0,0
85QFMC9M+H3,Fences & Barriers,idea0,Low stone wall,0,0
85QFMC9M+WJ,🚲Bike Use,idea0,"earthen pump track, skills area and multi-use connector trail",3,0
85QFMC9M+WJ,🚲Bike Use,idea1,Bike skills park and muliy-use trail connector,2,0
85QFMC9M+WJ,🚲Bike Use,idea2,"Bike pump track, bike skills/progression park",2,0
85QFMC9M+WJ,🥾Pedestrian Use,idea0,Walking trail through nature playground and native flower garden,2,0
85QFMC9M+WJ,🥾Pedestrian Use,idea1,"This is the approximate location of the existing trail through the Park.  It should be improved, especially on the east sit where it leaves from the corner of Reservoir and D streets.  This would help to connect with the existing Livinston Trail system",1,0
85QFMC9M+WJ,🥾Pedestrian Use,idea2,Pedestrian sidewalk/trail,0,0
85QFMC9M+WJ,🌳Planting,idea0,"Native perennials, shrubs. Demonstrate wise water use.",2,0
85QFMC9M+WJ,🌳Planting,idea1,"Wildlife habitat preservation through seeding and resotration of native grasses, forbs, and legumes. The native grass species are, for the most part, doing well.  There are patches of downy brome that should be managed.  Native legumes and flowering forbs should be reintroduced.",1,0
85QFMC9M+WJ,🌳Planting,idea2,native planting,0,0
85QFMC9M+WJ,🛝Recreation Area,idea0,Sidewalk surrounding playground with shade trees,1,0
85QFMC9M+WJ,🛝Recreation Area,idea1,Let's make this area into a dog park. We don't have a designated place in town where dogs can be but fenced in.,0,0
85QFMC9M+WJ,🛝Recreation Area,idea2,"Natural area enhanced with native plants and trees, winding single track trails and wide gravel trail. Interactive/natural art features act as shade and wind screens, sitting areas, overlook areas.",0,0
85QFMC9M+WJ,Fences & Barriers,idea0,D3 - Fenced Dog Park,0,1
85QFMC9M+W8,🚻Restrooms,idea0,Restroom and drinking fountain,0,0
85QFMC9M+XQ,🚲Bike Use,idea0,Terrain Park or pump track,0,0
85QFMC9M+XQ,🥾Pedestrian Use,idea0,D2 Dog walking trails,0,0
85QFMC9M+XQ,🛝Recreation Area,idea0,D1 Dog park,0,1
85QFMC9M+R9,🚻Restrooms,idea0,Restroom/shelter/covered picknick space,1,0
85QFMC9M+R9,🪧Wayfinding & Signage,idea0,D2 Grove,0,0
85QFMC9M+XG,🛝Recreation Area,idea0,"Reservoir Playground: swings, playground,",1,0
85QFMCCM+3P,🚲Bike Use,idea0,Bike Pump Track,1,0
85QFMC9M+QR,🥾Pedestrian Use,idea0,Trail connectivity to other north side trails,3,0
85QFMC9M+QR,🥾Pedestrian Use,idea1,Small wooden 1-3 sided minimalist structures scattered throughout along trail system that allow for viewing towards the mountains and offer sun shelter in summer and wind shelter in windy season. Should include seating.,0,0
85QFMC9M+QR,🥾Pedestrian Use,idea2,Minimal Dirt walking trails/multiuse trails weaving throughout the entire park (can fit a lot on 5.5 acres with thoughtful design),0,0
85QFMC9M+QR,🥾Pedestrian Use,idea3,Off leash dog and pedestrian walking trails,0,0
85QFMC9M+QR,🥾Pedestrian Use,idea4,Reservoir Park,0,0
85QFMC9M+QR,🌳Planting,idea0,Shade trees,2,0
85QFMC9M+QR,🌳Planting,idea1,"Maintain and enhance native landscaping. Do not install irrigation! Opportunity to showcase the beauty of native plants, offer educational opportunities and introduce low/no maintenance landscaping to citizens) appropriate and native trees and shrubs should be considered for shelter wind breaks and shade, but should be selectively and strategically planted, not everywhere",0,0
85QFMC9M+QR,🌳Planting,idea2,Reservoir Park,0,0
85QFMC9M+QR,🌳Planting,idea3,"Dog Park please (off leash, fence most of property.  If less than 5+ acres, include “natural” agility items similar to park W of the mall in Bzn).",0,2
