Category,Groups,Summary,Keywords,OLCs,geometry
🚲Bike Use,Bik0,Multiuse Trail Connector Youth Bike Skills Development Park,"bike, connector, park, skill",85QFMC9M+WJ,"POLYGON ((-110.566959 45.669875, -110.566417 45.66914, -110.564475 45.670167, -110.566299 45.670156, -110.566959 45.669875))"
🚲Bike Use,Bik0,Multiuse Trail Connector Youth Bike Skills Development Park,"bike, connector, park, skill",85QFMC9M+PC,"POLYGON ((-110.566562 45.66958, -110.56668 45.669511, -110.566471 45.669091, -110.566015 45.669357, -110.566562 45.66958))"
🚲Bike Use,Bik1,Bike pump track bike skills,"bike, park, pump, track",85QFMCCM+3P,"POLYGON ((-110.565575 45.670212, -110.56639 45.670193, -110.566664 45.670069, -110.565425 45.670017, -110.564518 45.670201, -110.565575 45.670212))"
🚲Bike Use,Bik1,Bike pump track bike skills,"bike, park, pump, track",85QFMCCP+22,"POLYGON ((-110.565205 45.670167, -110.565151 45.670036, -110.565054 45.669875, -110.564513 45.670163, -110.565205 45.670167))"
🚲Bike Use,Bik2,Outer park loop bike skills jump park,"bike, kid, loop, park",85QFMC9M+VC,"POLYGON ((-110.566569 45.669576, -110.566569 45.669816, -110.566225 45.669816, -110.566225 45.669576, -110.566569 45.669576))"
🚲Bike Use,Bik2,Outer park loop bike skills jump park,"bike, kid, loop, park",85QFMC9M+RG,"LINESTRING (-110.567613 45.668332, -110.567828 45.668577, -110.567962 45.668926, -110.567683 45.669586, -110.567055 45.669957, -110.566428 45.670239, -110.565698 45.670268, -110.565023 45.670268, -110.564373 45.670279, -110.56417 45.670167, -110.565704 45.669376, -110.567478 45.668411)"
🚲Bike Use,Bik2,Outer park loop bike skills jump park,"bike, kid, loop, park",85QFMC9M+QR,"POLYGON ((-110.566106 45.668945, -110.566106 45.669905, -110.564733 45.669905, -110.564733 45.668945, -110.566106 45.668945))"
🚲Bike Use,Bik3,Mountain bike trail progressive mountain bike area ability age dirt trail structured trail feature bike use area,"area, bike, mountain, trail",85QFMC9M+WC,"POLYGON ((-110.566776 45.669515, -110.566776 45.669994, -110.566089 45.669994, -110.566089 45.669515, -110.566776 45.669515))"
🚲Bike Use,Bik3,Mountain bike trail progressive mountain bike area ability age dirt trail structured trail feature bike use area,"area, bike, mountain, trail",85QFMC9M+WH,"POLYGON ((-110.565215 45.670137, -110.565473 45.670152, -110.566229 45.670103, -110.566867 45.669863, -110.566728 45.669631, -110.566524 45.669515, -110.566395 45.669488, -110.566095 45.669638, -110.565923 45.669744, -110.565671 45.669781, -110.565559 45.669875, -110.565366 45.669983, -110.565312 45.670006, -110.565167 45.670111, -110.565215 45.670137))"
🚲Bike Use,Bik3,Mountain bike trail progressive mountain bike area ability age dirt trail structured trail feature bike use area,"area, bike, mountain, trail",85QFMC9M+M5,"POLYGON ((-110.566514 45.669114, -110.566331 45.669121, -110.567538 45.668473, -110.567737 45.66869, -110.567785 45.668922, -110.567726 45.669144, -110.567662 45.669275, -110.567801 45.669301, -110.567747 45.669406, -110.567635 45.669383, -110.567581 45.669563, -110.567436 45.669668, -110.566986 45.669845, -110.566621 45.669886, -110.566283 45.670039, -110.565875 45.670126, -110.565392 45.670126, -110.565205 45.670096, -110.565097 45.669979, -110.565151 45.66986, -110.565618 45.66959, -110.566133 45.669451, -110.566165 45.669365, -110.566379 45.669121, -110.566503 45.669099, -110.566245 45.66938, -110.566202 45.669477, -110.565671 45.669627, -110.565237 45.669878, -110.565172 45.669976, -110.565231 45.670047, -110.565398 45.670073, -110.565859 45.670077, -110.566245 45.669987, -110.56661 45.66983, -110.566991 45.669788, -110.567425 45.669616, -110.567313 45.669338, -110.566728 45.669009, -110.566514 45.669114))"
